Title,Score,Episodes,Genres,Status
Sousou no Frieren,91.0,28.0,"Adventure, Drama, Fantasy",FINISHED
Gintama: THE FINAL,91.0,1.0,"Action, Comedy, Drama, Sci-Fi",FINISHED
Gintama°,90.0,51.0,"Action, Comedy, Drama, Sci-Fi",FINISHED
ONE PIECE FAN LETTER,90.0,1.0,"Action, Adventure, Fantasy",FINISHED
Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,90.0,64.0,"Action, Adventure, Drama, Fantasy",FINISHED
Fruits Basket: The Final,89.0,13.0,"Comedy, Drama, Psychological, Romance, Slice of Life, Supernatural",FINISHED
Shingeki no Kyojin 3 Part 2,89.0,10.0,"Action, Drama, Fantasy, Mystery",FINISHED
Kaguya-sama wa Kokurasetai: Ultra Romantic,89.0,13.0,"Comedy, Psychological, Romance, Slice of Life",FINISHED
Owarimonogatari (Ge),89.0,7.0,"Comedy, Mystery, Psychological, Romance, Supernatural",FINISHED
HUNTER×HUNTER (2011),89.0,148.0,"Action, Adventure, Fantasy",FINISHED
Steins;Gate,89.0,24.0,"Drama, Psychological, Sci-Fi, Thriller",FINISHED
3-gatsu no Lion 2,89.0,22.0,"Drama, Slice of Life",FINISHED
Gintama': Enchousen,89.0,13.0,"Action, Comedy, Drama, Sci-Fi",FINISHED
Gintama',89.0,51.0,"Action, Comedy, Drama, Sci-Fi",FINISHED
BLEACH: Sennen Kessen-hen,88.0,13.0,"Action, Adventure, Supernatural",FINISHED
Gintama.,88.0,12.0,"Action, Comedy, Drama, Sci-Fi",FINISHED
Ashita no Joe 2,88.0,47.0,"Action, Drama, Slice of Life, Sports",FINISHED
Ginga Eiyuu Densetsu,88.0,110.0,"Drama, Sci-Fi",FINISHED
Kusuriya no Hitorigoto,88.0,24.0,"Drama, Mystery",FINISHED
VINLAND SAGA SEASON 2,88.0,24.0,"Action, Adventure, Drama",FINISHED
Koe no Katachi,88.0,1.0,"Drama, Romance, Slice of Life",FINISHED
MONSTER,88.0,74.0,"Drama, Horror, Mystery, Psychological, Thriller",FINISHED
Monogatari Series: Second Season,88.0,26.0,"Comedy, Drama, Mystery, Psychological, Romance, Supernatural",FINISHED
ONE PIECE,88.0,,"Action, Adventure, Comedy, Drama, Fantasy",RELEASING
Mob Psycho 100 II,88.0,13.0,"Action, Comedy, Drama, Psychological, Slice of Life, Supernatural",FINISHED
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,87.0,4.0,"Comedy, Psychological, Romance, Slice of Life",FINISHED
Violet Evergarden Movie,87.0,1.0,"Drama, Fantasy, Slice of Life",FINISHED
